idx,lat,lon
241,51.5113316,-0.0973499
242,51.5113045,-0.0963776
243,51.5104433,-0.0943048
244,51.5113753,-0.0995213
245,51.5109631,-0.0940931
246,51.5147592,-0.1039377
247,51.5160143,-0.1020153
248,51.5162653,-0.1029222
249,51.5125342,-0.1048764
250,51.5112022,-0.085591
251,51.5106484,-0.0839158
252,51.5104417,-0.0839508
253,51.5104162,-0.0825901
254,51.5097923,-0.0835468
255,51.5095921,-0.0856461
256,51.5207032,-0.097523
257,51.5214292,-0.0974426
258,51.5210428,-0.0955544
259,51.5155312,-0.0963023
260,51.514974,-0.0953979
261,51.5149117,-0.0946025
262,51.514349,-0.095526
263,51.515444,-0.0954301
264,51.5110718,-0.1107212
265,51.5138887,-0.1093427
266,51.5148101,-0.0778615
267,51.5159809,-0.0806168
268,51.5157784,-0.0805854
269,51.5149148,-0.0790733
270,51.5138104,-0.0791953
271,51.5144248,-0.0809801
272,51.5150708,-0.0793392
273,51.5154056,-0.0788171
274,51.5160083,-0.0784335
275,51.5157508,-0.0778892
276,51.5155384,-0.0790331
277,51.5139418,-0.07906
278,51.5142044,-0.0785832
279,51.5133463,-0.0775275
280,51.5153124,-0.0771393
281,51.5169355,-0.0809759
282,51.5162829,-0.0931015
283,51.5153413,-0.0931638
284,51.5154297,-0.0933675
285,51.5168462,-0.0914259
286,51.5149967,-0.0910886
287,51.5168798,-0.0897065
288,51.514637,-0.0939242
289,51.5143643,-0.0922503
290,51.5124327,-0.0792279
291,51.513906,-0.1092173
292,51.5138251,-0.1110537
293,51.5152377,-0.0883813
294,51.5171119,-0.0929621
295,51.5174082,-0.0786744
296,51.515124,-0.0767708
297,51.5158489,-0.0840084
298,51.516242,-0.0886046
299,51.5164738,-0.0885827
300,51.5148562,-0.0854309
301,51.5161462,-0.0852288
302,51.5154752,-0.0931071
303,51.5175775,-0.090133
304,51.5180229,-0.0893039
305,51.5174319,-0.0824158
306,51.5153478,-0.0825173
307,51.5128842,-0.079571
308,51.5110688,-0.1014628
309,51.5109785,-0.1021192
310,51.5113274,-0.1042281
311,51.5144518,-0.1011396
312,51.5144484,-0.1007
313,51.5207162,-0.0953292
314,51.5125853,-0.0755516
315,51.5144001,-0.0926816
316,51.514916,-0.0924945
317,51.5164034,-0.0942355
318,51.5141494,-0.0927099
319,51.5176981,-0.1014975
320,51.5111259,-0.1068563
321,51.5156896,-0.0944351
322,51.5114254,-0.1015316
323,51.5188546,-0.0982149
324,51.5190029,-0.0978981
325,51.5152273,-0.1022315
326,51.5119115,-0.0978467
327,51.5131098,-0.0818211
328,51.5127577,-0.0820772
329,51.5099992,-0.0890615
330,51.5118963,-0.1021791
331,51.5115442,-0.0773376
332,51.5107754,-0.077757
333,51.5176774,-0.1046867
334,51.5120041,-0.0759512
335,51.5105131,-0.093153
336,51.5190044,-0.09981
337,51.5180502,-0.0933259
338,51.518172,-0.0938509
339,51.5182684,-0.0942668
340,51.518341,-0.0945915
341,51.5125576,-0.1088126
342,51.5137785,-0.109364
343,51.5103467,-0.0755171
344,51.5110375,-0.0922787
345,51.517454,-0.0936913
346,51.5178013,-0.0900623
